ID	Original Text	Translated Text
257	This memorial is for the countless brave souls who sacrificed their lives to save mankind. Although it was dedicated to the soldiers of the Old Wars. I believe it honors all those who have served in battle throughout our history.	这座纪念碑是为无数为拯救人类而牺牲生命的英灵而建的.虽然它是献给旧时代战争的士兵的.我相信它是对我们历史上所有在战斗中服役的人的尊重.
258	As a captain. I can say with confidence that there is nothing more important than your crew. Without the loyal men and women who keep your ship up and running. you have nothing. Be good to your crewmen. When you run into trouble. those are the people who'll be willing to lay their lives on the line to protect yours. And you should be ready to do the same. 	作为一名船长.我可以自信地说.没有什么比你的船员更重要.如果没有那些让你的船运转起来的忠诚的男人和女人.你将一无所有.要善待你的船员们.当你遇到麻烦时.这些人愿意用他们的生命来保护你.而你也应该准备好做同样的事.
259	…Please. don’t bother me. I just need a moment to myself.	…请不要打扰我.我只是需要一个自己的私人空间.
260	I've been living at this hub for five years now. and I’m proud to call it home. I hope this outpost becomes as much a safe haven to you and your crew as it has been to me.	我已经在这个中心住了五年了.我很自豪地称它为家.我希望这个前哨站能像它对我一样.成为你和你的船员的安全港湾.
261	Do you know much about the Infected? They seem to take over entire sections of the galaxy. and I hear they keep spreading. It’s worrisome. isn’t it? What if we’re next? I can’t imagine Outpost 448 falling to anything. let alone some strange creatures…	你对感染者了解多少.他们似乎占领了整个银河系. 我听说他们在不断地扩散.这很令人担忧.不是吗.如果我们是下一个呢.我无法想象448号前哨站会落入任何东西手中. 更不用说一些奇怪的生物了... ...
262	Need to drop some cargo? I'll take it off your hands.	需要放下一些货物吗.我会把它从你手中接过来.
263	Nothing going on here.	这里没有任何事情发生.
264	Can’t you see I’m working? Stop bothering me.	你没看到我在工作吗.不要再打扰我了.
265	Our pilot is useless. All he thinks about is racing. Last week. we were at a repair station to patch up some damage to our hull. Our idiot pilot sped up and rammed the ship into the side of the repair bay. It knocked our hull down to 10% integrity. Needless to say. our captain is getting sick of his antics. If he pulls a stunt like that one more time. we'll have to look for a new pilot. That good-for-nothing fool... I don't know why we hired him in the first place.	我们的飞行员是最没用的.他成天满脑子都是赛车.上周.我们在一个维修站维修船体.这个白痴飞行员加快速度.把船撞向维修站的一侧.它把我们的船体撞到了10%的完整性.不用说.我们的船长已经厌倦了他的滑稽行为.如果他再玩一次这样的把戏.我们就得找一个新的飞行员了.那个一无是处的傻瓜... 我不知道我们当初为什么雇用他.
266	Whatever you do out there. be sure you have enough fuel to make it back. I've heard too many stories of ships getting stranded. And even if someone locates your distress signal. you never know if they're friendly. One Alliance group waited to starve out a stranded crew. and then stripped the vessel after they were all dead. Make sure that's not your end.	无论你在那里做什么.都要确保你有足够的燃料来返回.我听过太多船只被搁浅的故事.即使有人找到了你的求救信号.你也不知道他们是否友好.有一个联盟组织.他们就这样看着即将饿死一个被困船员.然后在他死了之后把船给扒了.请确保这不是你的结局.
267	Someone told me the Infected situation is going to get worse. I don’t know how many more complications this outpost can handle.	有人告诉我感染者的情况会越来越糟.我不知道这个前哨站还能处理多少复杂情况.
268	It's always a pleasure to meet another Grey Huntsman in person. Good luck with the hunt.	能亲自见到另一位灰衣猎手总是很高兴.祝你在狩猎中好运.
269	If you have an interest in taking on bounties. join the Grey Huntsmen. We often try to recruit new members through long range comms. but if you're eager to join. go to the Harbor or Cornelia station. We have representatives there by the names of Ivok Milligan and Baris. respectively. Either of them would be happy to induct you into the organization.	如果你对接受悬赏有兴趣.加入灰色猎手团.我们经常尝试通过远程通讯招募新成员.但如果你渴望加入.请到港口或科内利亚站.我们在那里有代表.名字分别是Ivok Milligan和Baris.他们中的任何一位都会很乐意接纳你加入组织.
270	Bounty	Bounty
271	Heard any news about the Alliance of Gentlemen? If you do. I'd appreciate the tip. I have unfinished business with one of their crews. And a bounty to reap.	听说过关于盖亚联盟的任何消息吗.如果你有的话.我会感谢你的提示.我和他们的一个船员有未了结的事情.还有一笔赏金要收.
272	Get lost.	Get lost.
273	Move along. there’s nothing for you to see.	继续前进.没有什么可让你看的.
274	We have no business with you. Be on your way.	我们与你没有任何关系.上路吧.
275	That Sylvassi over there is a bounty hunter. I'm a bit envious. to be honest. Any sort of work would be better than belonging to the W.D. Corporation. like I do. Oh. please. don't tell Captain Kraimer I said that. I'll get in all kinds of trouble.	那边的希尔瓦西是个赏金猎人.说实话.我有点羡慕.任何形式的工作都比像我现在的W.D.公司要好.哦 请不要告诉Kraimer上尉我说过这些话.我会惹上各种麻烦的.
276	I have a bit of advice for you. Even if you find yourself in a perilous situation. don't leave any man behind. You'll regret it until the day you die... 	我有一点建议给你.即使你发现自己处于危险的境地. 不要留下任何人.不然你会后悔的.直到你死的那一天... 
277	Things are getting more dangerous out there. Be careful. traveler. 	外面的事情越来越危险了.要小心.旅行者.
278	Some say an Infected ship docked at this hub. But rumors hold little truth. so I wouldn’t be concerned if I were you. 	有人说一艘被感染的飞船停靠在这个中心.但谣言的真实性不高.所以如果我是你.就不会担心.
279	My crew and I are looking for habitable planets on the fringes. So far. we've had no luck. Some places are simply too inhospitable. even for terraforming crews. If our luck doesn't turn around sometime soon. we'll have to rethink our line of work.	我和我的船员正在寻找边缘地带的宜居行星.到目前为止.我们一直没有遇上好运气.有些地方实在是太荒凉了.即使是对地形改造人员来说也是如此.如果我们的运气不能很快好转的话.我们就得重新考虑我们的工作了.
280	A partner crew of ours wandered into an Infected sector. We were ordered by Colonial Union Command to cut contact with their ship. We warped out and haven’t heard from them since. I wonder what’s going on out there… 	我们的一个伙伴船员误入了一个被感染的区域.殖民地联盟指挥部命令我们切断与他们的飞船的联系.我们翘首以待.此后再也没有他们的消息.我想知道那里发生了什么事... 
281	If it’s news you want. I don’t got any. Just leave me be. Don’t deny an old captain his one last pleasure.	如果你想要的是新闻.我没有任何消息.别管我.不要拒绝一个老船长的最后乐趣
282	Not interested in chattin’ or swappin’ tales of valor. Sit down if you want a drink. Go someplace else if you’re lookin’ for company.	目前我对聊天或交换英勇的故事不感兴趣.如果你想喝酒就坐下来.如果你想找人陪.就去别的地方.
283	Have you ever seen an Infected Carrier. kid? Eh… Nothin’ special. It’s just like everythin’ else in this galaxy. Wants you dead. 	孩子,你见过被感染的载体吗.呃.它们没什么特别的.它就像这个星系中的其他事物一样.想让你死.
284	I received a message from one of my research partners. Sala. who was inside the Outpost 448 research wing during Code Black. She wasn't able to tell me much other than she's okay. But I'm so glad that she made it out of there alive. And I can put the pieces together. I know you played a part in resolving the Wasted Wing incident. so thank you.	我收到了我的一个研究伙伴的信息.萨拉.在 "黑色代码 "期间.她在前哨448号研究楼内.她没能告诉我什么.只是说她很好.但我很高兴她能活着离开那里.而且我可以把这些碎片拼凑起来.我知道你在解决废翼事件中发挥了作用.所以谢谢你.
285	You're a prominent these days. right? You must know what's going on with the Wasted Wing. When I signed my contract with the Colonial Union Research Division of Outpost 448. I saw the fine print about the Code Black protocol. I know that's what happened. Which means. something terrible must have broken out inside the research wing. You don't need to say anything. I know you're not permitted to talk about it. I just hope everyone is all right.	你最近出尽了风头.对吗.你一定知道废墟之翼是怎么回事.当我与448号前哨站的殖民联盟研究部签署合同时. 我看到了关于黑色代码协议的细则.我知道这就是发生的事情.这意味着."研究部 "内部一定发生了可怕的事情.你不需要说什么.我知道你不被允许谈论它.我只希望大家都没事.
286	I recently returned to Outpost 448 and saw that half the station was destroyed. My research team has been based in the Outpost 448 research wing for years. and I don't know if they're okay. The Command Center representatives say they can't tell me anything about the state of our lab. I'm worried sick. but there's nothing I can do. I'll just stay here for a while. have a drink with a friend. and hope everyone is all right.	我最近回到了448号前哨站.看到一半的站被摧毁了.我的研究团队多年来一直驻扎在448号前哨站的研究部.我不知道他们是否还好.指挥中心的代表说他们不能告诉我任何关于我们实验室的状况.我担心死了.但我无能为力.我就在这里呆一会.和朋友喝杯酒.希望大家都能没事.
